post_text,post_id,user_id,username,reply_to_post_num,topic_id,post_num,reply_count,created_at,updated_at,num_reads,topic_slug,forum_name
"HI, Just disconnected from Santander to change to Starling and it isn’t listed? ",129622,3468,daveh001,,35655,1,0,2020-06-05T18:26:28.882Z,2020-06-05T19:19:53.615Z,9,starlink-bank-feed-not-in-the-list-to-connect-to,quickfile
"Hi [@daveh001](/u/daveh001) Are you trying to connect this from “Open Banking” by any chance? The Starling feed isn’t actually Open Banking (although I believe this will change in the future). As long as you see the Starling logo on your account in QuickFile, you can go to the bank statement view, select **More Options** >> **Activate Bank Feed**. If you don’t see the Starling logo, select the account you’re trying to link up, as above, go to the ban statement view, **More Options** >> **Settings** , and set it to Starling. Both the logo and the option to activate the feed should then appear for you. ",129623,3328,QFMathew,,35655,2,1,2020-06-05T19:10:19.439Z,2020-06-05T19:10:19.439Z,9,starlink-bank-feed-not-in-the-list-to-connect-to,quickfile
"Thanks Mathew, got that done, few more steps but I guess its not something you have to do every day! QF great support as usual… ",129624,3468,daveh001,2,35655,3,0,2020-06-05T19:19:41.792Z,2020-06-05T19:19:41.792Z,9,starlink-bank-feed-not-in-the-list-to-connect-to,quickfile
"I set up the bank feed and understand that upon activating the service, all historical transanctions, will not populate my QF. But nothing is coming through to QF. The feed is “authorised” in Starling (courtesy of QR code) and it show live in QF. I have had 3 fuel card transanctions following the activation; but these too are not showing up in QF? Am I missing something? Thanks all ",129512,14107,Sysyem_X,,35635,1,0,2020-06-04T22:50:09.606Z,2020-06-05T09:03:53.636Z,10,starling-bank-card-transactions-not-importing,quickfile
"Hi, did you link your starling bank account within quickfile to the open feed which is linked to your starling bank account? ",129514,10457,rhc,,35635,2,1,2020-06-05T08:07:08.620Z,2020-06-05T08:07:08.620Z,9,starling-bank-card-transactions-not-importing,quickfile
"When did you set it up? Card payments work a bit differently from other transactions, they only appear in QuickFile once the funds have cleared (which takes a couple of days), they’re not instant like bank transfers etc. ",129515,501,ian_roberts,,35635,3,1,2020-06-05T08:13:06.621Z,2020-06-05T08:13:06.621Z,9,starling-bank-card-transactions-not-importing,quickfile
Yes - and it shows up as active feed in QF ,129607,14107,Sysyem_X,2,35635,4,1,2020-06-05T14:56:57.552Z,2020-06-05T14:56:57.552Z,9,starling-bank-card-transactions-not-importing,quickfile
"Hiya Ian Love your website, btw I think I set it up early in the week. It shows active on bank feeds in QF, I assume its automatic, so I don’t need to manual refresh. There should be 3 debit card transactions since the date I went live which aren’t showing up. thanks J ",129609,14107,Sysyem_X,3,35635,5,1,2020-06-05T14:59:29.560Z,2020-06-05T14:59:29.560Z,9,starling-bank-card-transactions-not-importing,quickfile
"Do you have more than 1 Starling account under one login, for example a euro account, one or two current account and/or saving account? If so, did you choose/connect the right account? ",129610,10457,rhc,4,35635,6,0,2020-06-05T15:01:23.982Z,2020-06-05T15:01:23.982Z,9,starling-bank-card-transactions-not-importing,quickfile
"It’s also worth checking the transactions themselves in your Starling app. If they show “Pending”, they won’t show up yet. They’ll only show when they clear and the “Pending” label is removed. ",129611,3328,QFMathew,,35635,7,0,2020-06-05T15:10:27.714Z,2020-06-05T15:10:27.714Z,9,starling-bank-card-transactions-not-importing,quickfile
